gitHubSlug,npmPackageName,abandonedYearMonth
BenoitClaveau/qwebs,qwebs,2017-12
BenoitClaveau/qwebs-mongo,qwebs-mongo,2017-12
bentatum/better-react-spinkit,better-react-spinkit,2018-03
BerndWessels/babel-relay-plugin-loader,babel-relay-plugin-loader,2017-04
bestander/uglify-loader,uglify-loader,2018-10
bestiejs/json3,json3,2019-05
bethesque/pact-mock-service-npm,@pact-foundation/pact-mock-service,2018-03
bettiolo/oauth-signature-js,oauth-signature,2018-04
bevacqua/react-dragula,react-dragula,2017-01
Beven91/react-native-on-web,react-native-on-web,2018-11
bezoerb/filter-css,filter-css,2017-01
bgentry/ember-common-tags,ember-common-tags,2019-07
bgrins/ExpandingTextareas,expanding-textareas,2017-09
bguiz/broccoli-sprite,broccoli-sprite,2017-01
bholloway/omit-tilde-webpack-plugin,omit-tilde-webpack-plugin,2017-04
bhoriuchi/vue-deepset,vue-deepset,2018-08
bhstahl/auto-retry,auto-retry,2018-03
bibliolabs/preprocessify,preprocessify,2017-01
bighostkim/class.extend,class.extend,2017-01
bigslycat/flow-geojson,flow-geojson,2019-01
bigtestjs/convergence,@bigtest/convergence,2020-07
bigx333/azure-aws-serverless-express,azure-aws-serverless-express,2020-07
billtrik/karma-fixture,karma-fixture,2017-03
binary-com/binary-utils,binary-utils,2018-02
BinaryMuse/atom-mocha-test-runner,@smashwilson/atom-mocha-test-runner,2018-02
binded/phantom-pool,phantom-pool,2017-12
BioPhoton/angular-star-rating,angular-star-rating,2018-08
BioPhoton/css-star-rating,css-star-rating,2018-09
biosustain/potion-node,potion-client,2018-05
bipio-server/bipio,bipio,2019-05
bithound/cli.bithound.io,bithound,2017-02
bitpay/bitcore-mnemonic,bitcore-mnemonic,2019-04
bkonkle/babel-preset-es2015-loose,babel-preset-es2015-loose,2016-09
bkonkle/jsx-chai,jsx-chai,2019-04
blacktangent/react-mousetrap,react-mousetrap,2017-10
blakeembrey/co-mocha,co-mocha,2018-03
blakeembrey/popsicle-proxy-agent,popsicle-proxy-agent,2019-05
blakeembrey/simulate-event,simulate-event,2017-01
blesh/symbol-observable,symbol-observable,2018-06
blesscss/bless,bless,2017-01
BlessCSS/gulp-bless,gulp-bless,2018-07
blockchain/service-my-wallet-v3,blockchain-wallet-service,2017-05
blockcypher/node-client,blockcypher,2017-08
Blocklevel/blue-next,bcli,2018-03
blond/mocha-simple-html-reporter,mocha-simple-html-reporter,2018-08
blueberryapps/react-load-script,react-load-script,2018-06
blx/jqllib,jqllib,2020-02
bmealhouse/next-redux-saga,next-redux-saga,2020-09
