repositoryGitHubSlug,npmPackageName,patchedVersion,patchedVersionReleaseDate
ExactTarget/fuelux,fuelux,3.15.7,2016-09-15T16:05:14.720Z
yaronn/xml-crypto,xml-crypto,2.0.0,2020-10-05T17:00:33.689Z
westy92/html-pdf-chrome,html-pdf-chrome,0.6.1,2020-08-15T03:50:39.236Z
jsreport/jsreport-chrome-pdf,jsreport-chrome-pdf,1.10.0,2020-11-04T10:21:06.276Z
mikaelbr/mversion,mversion,2.0.1,2020-06-30T17:48:24.842Z
yahoo/serialize-javascript,serialize-javascript,3.1.0,2020-05-28T11:37:37.428Z
awspilot/cli-lambda-deploy,aws-lambda,1.0.5,2020-01-06T17:28:27.673Z
webtorrent/bittorrent-dht,bittorrent-dht,5.1.3,2016-01-02T16:09:46.640Z
webpack-contrib/webpack-bundle-analyzer,webpack-bundle-analyzer,3.3.2,2019-04-11T14:30:57.414Z
balderdashy/waterline-sequel,waterline-sequel,0.5.1,2015-11-17T16:49:56.154Z
silverwind/droppy,droppy,3.5.0,2015-10-12T18:41:34.073Z
schnittstabil/merge-options,merge-options,1.0.1,2018-04-30T09:22:41.458Z
jonschlinkert/assign-deep,assign-deep,0.4.8,2019-06-25T17:47:22.729Z
valeriangalliat/markdown-it-highlightjs,markdown-it-highlightjs,3.3.1,2020-11-15T23:21:15.739Z
mongo-express/mongo-express,mongo-express,0.54.0,2019-12-24T17:19:55.533Z
douglascrockford/JSON-js,json,10.0.0,2020-08-28T22:51:56.917Z
kucherenko/blamer,blamer,1.0.1,2020-03-09T13:49:29.930Z
driverdan/node-XMLHttpRequest,xmlhttprequest,1.7.0,2015-01-09T03:38:00.130Z
npm/ssri,ssri,5.2.2,2018-02-14T20:38:05.178Z
cloudcmd/console-io,console-io,2.3.0,2015-09-29T14:24:38.681Z
angular/angular.js,angular,1.7.9,2019-11-19T09:30:03.381Z
visjs/vis-timeline,vis-timeline,7.4.4,2020-12-20T13:51:37.460Z
yargs/y18n,y18n,4.0.1,2020-11-30T23:43:34.811Z
ckeditor/ckeditor4-releases,ckeditor4,4.15.1,2020-11-09T14:25:45.128Z
salesforce/tough-cookie,tough-cookie,2.3.0,2016-07-21T18:44:18.142Z
jshttp/fresh,fresh,0.5.2,2017-09-14T05:03:12.205Z
acornjs/acorn,acorn,7.1.1,2020-03-01T12:39:27.836Z
